Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
1017,Municipiul Alba Iulia,AB,873,174,598,72,0,1180,3814,458,5976,4953
1348,Municipiul Blaj,AB,299,42,225,33,0,20,1330,265,1887,111
9262,Municipiul Arad,AR,2063,441,1316,159,0,3060,8347,961,13098,10023
9690,Oras Sebis,AR,113,0,59,0,0,10,559,0,530,42
13169,Municipiul Pitesti,AG,2704,906,1532,79,47,2708,11275,517,14959,9110
13490,Municipiul Campulung,AG,802,66,430,51,0,110,3148,361,3119,366
20297,Municipiul Bacau,BC,2394,547,1377,264,40,1479,10640,1572,13328,5543
26564,Municipiul Oradea,BH,2673,922,1857,273,22,3669,10511,1601,17559,15833
26877,Municipiul Marghita,BH,312,0,191,14,0,41,1185,130,1631,116
32394,Municipiul Bistrita,BN,1243,223,687,160,0,202,5209,849,7321,1132
32544,Oras Nasaud,BN,357,28,121,0,0,64,1561,87,984,286
40198,Municipiul Brasov,BV,2266,471,1709,166,21,4558,9513,1350,18899,21296
42682,Municipiul Braila,BR,1880,547,1459,124,164,210,8115,1235,13624,710
44818,Municipiul Buzau,BZ,2116,725,1143,72,63,134,9651,764,10830,498
50790,Municipiul Resita,CS,628,197,529,29,31,403,2888,390,5100,1312
54975,Municipiul Cluj-Napoca,CJ,2956,980,2296,195,58,13603,12665,1637,24636,67262
60419,Municipiul Constanta,CT,3400,1087,2309,56,234,4976,14075,917,23100,23118
63394,Municipiul Sfantu Gheorghe,CV,624,84,561,85,0,76,2295,731,5405,318
63740,Municipiul Targu Secuiesc,CV,396,101,215,23,0,13,1634,298,1802,42
65342,Municipiul Targoviste,DB,1748,392,852,43,24,1255,7570,728,7794,4931
69900,Municipiul Craiova,DJ,3580,1885,2135,300,137,5873,15599,1617,20949,21929
75098,Municipiul Galati,GL,2954,629,2009,179,150,3431,13053,1238,18876,14142
77812,Municipiul Targu Jiu,GJ,1894,932,965,49,95,971,8029,430,8661,3363
83133,Municipiul Odorheiu Secuiesc,HR,638,64,343,67,16,64,2458,504,3516,186
83320,Municipiul Miercurea Ciuc,HR,747,142,460,118,0,151,2994,658,3906,820
83561,Municipiul Gheorgheni,HR,376,0,184,21,0,47,1322,224,1660,126
86810,Municipiul Hunedoara,HD,508,325,486,23,90,272,2261,221,4273,859
86990,Municipiul Petrosani,HD,575,271,407,40,104,756,2262,270,3150,3192
92569,Municipiul Calarasi,CL,1024,158,569,39,15,56,4091,338,5515,317
95060,Municipiul Iasi,IS,3877,1222,2452,195,112,11428,17586,2142,26203,53174
101742,Cernica,IF,0,0,69,0,0,35,0,0,966,171
106318,Municipiul Baia Mare,MM,2166,493,1229,103,11,1165,8754,975,11197,4700
106559,Municipiul Sighetu Marmatiei,MM,801,75,387,45,0,111,3208,511,3651,495
109773,Municipiul Drobeta-Turnu Severin,MH,1342,647,892,14,111,480,5570,336,7543,1710
114319,Municipiul Targu Mures,MS,1973,628,1317,54,61,2578,8380,1028,12520,11603
120726,Municipiul Piatra-Neamt,NT,1752,373,783,88,22,42,6833,755,7889,214
120860,Municipiul Roman,NT,1075,230,452,108,0,30,4549,689,4487,145
125347,Municipiul Slatina,OT,1506,817,701,34,88,109,6497,637,6553,575
130534,Municipiul Ploiesti,PH,3079,1041,1977,172,135,1587,13035,1483,17954,6939
136483,Municipiul Satu Mare,SM,1522,451,1030,123,0,155,6445,1067,9491,1168
139704,Municipiul Zalau,SJ,1065,188,624,47,0,92,4104,398,5569,378
143450,Municipiul Sibiu,SB,1696,408,1182,159,0,3902,7816,1145,12878,16322
146263,Municipiul Suceava,SV,2076,634,1060,160,46,2253,8903,1134,9833,7755
146744,Municipiul Vatra Dornei,SV,214,77,152,34,0,45,995,170,1221,99
151790,Municipiul Alexandria,TR,983,216,411,20,0,151,4377,143,3607,661
155243,Municipiul Timisoara,TM,3412,794,2094,158,155,7978,14442,1307,22275,40002
155350,Municipiul Lugoj,TM,561,133,366,21,0,205,2270,431,3560,360
167473,Municipiul Ramnicu Valcea,VL,1819,655,1008,31,39,269,7775,492,9455,806
174744,Municipiul Focsani,VN,1606,474,768,55,13,89,7143,564,7297,287
179132,Municipiul Bucuresti,B,14778,2927,13139,173,172,39692,66522,2449,146909,172038
